index,osmid_original,y,x,lon,lat,street_count
3095,151474025,3332776.6875581923,609530.1853560503,-97.863008,30.121343,3
3096,151474040,3332682.7533151996,609334.8560544881,-97.865045,30.120513,3
3097,151493560,3332326.273007314,609541.9939683651,-97.862932,30.117278,3
3098,151474046,3332611.4399348036,609240.7561176895,-97.866029,30.119878,4
3099,151512515,3332804.029082945,609203.5794347946,-97.866395,30.121619,3
3100,151474062,3332587.988401478,609021.8876725581,-97.868303,30.119686,3
3101,151512504,3332913.4298199764,609148.7309588249,-97.866953,30.122611,4
3102,151474079,3321385.362171794,594525.7995295651,-98.019756,30.019813,3
3103,151474259,3347756.4848764543,586742.6092538196,-98.098299,30.258344,3
3104,7284174564,3347716.2783226115,586559.5053373391,-98.1002055,30.2579943,3
3105,7069682470,3347553.2649271092,585908.7482310324,-98.1069828,30.2565697,3
3106,5500072107,3326658.4805374253,613734.9523245704,-97.8200233,30.065756,3
3107,151474583,3316335.3382257866,599876.0193422243,-97.964754,29.973821,3
3108,151506716,3316252.720224316,599796.4859470198,-97.965586,29.973082,3
3109,151474622,3316646.374323436,597535.2678925958,-97.988985,29.976816,3
3110,151474641,3317008.95538574,597455.4639659964,-97.989779,29.980094,3
3111,151597615,3316229.417474867,597191.4882408563,-97.992586,29.973081,3
3112,151525097,3316419.7470163605,598050.3853134551,-97.983667,29.97473,3
3113,151474738,3317941.647212878,598753.0214753248,-97.976244,29.988406,3
3114,151589666,3317504.5033856216,597398.1309400422,-97.990328,29.98457,3
3115,151505331,3331046.6467309557,606214.2720956451,-97.8975972,30.1060267,3
3116,151474816,3331405.6473899633,605533.4179414809,-97.904627,30.109325,3
3117,151474836,3331545.3887502793,605206.6085415345,-97.9080047,30.1106141,3
3118,151474840,3331852.839742511,605206.2892937132,-97.9079775,30.1133882,3
3119,151495049,3331832.0721546244,604646.421652648,-97.91379,30.113249,3
3120,151474849,3332328.673178183,605201.1120779436,-97.907984,30.117682,3
3121,151562896,3332024.0681117894,604720.3292424697,-97.913004,30.114975,3
3122,151474955,3312960.199342012,602550.1247412777,-97.937364,29.943146,3
3123,151484988,3313025.7314766934,602613.6064443653,-97.9367,29.943732,3
3124,151546016,3312623.5140623134,602730.0705140722,-97.935532,29.940093,3
3125,151475013,3321472.9849862875,586348.1541651395,-98.104543,30.021208,3
3126,151475280,3328217.0804814585,612051.2318029687,-97.8373241,30.0799743,4
3127,151475294,3328219.444965141,612195.3303627233,-97.8358289,30.0799824,3
3128,151475312,3322901.4524023156,591274.6416829727,-98.053337,30.03374,3
3129,151475448,3323849.6036914503,611502.3382450364,-97.8434768,30.0406182,3
3130,4594704737,3323993.882140346,611394.6273773832,-97.8445787,30.0419298,3
3131,2779967189,3323355.6277581207,611280.521270721,-97.8458288,30.0361814,3
3132,1371567779,3325422.5556867537,611373.7393315209,-97.8446457,30.0548222,3
3133,151534083,3324488.16561806,611765.7806037827,-97.8406777,30.0463557,3
3134,151475534,3325762.934783517,611410.3311751327,-97.8442305,30.05789,3
3135,5607584368,3326016.3574339915,611444.907045454,-97.8438453,30.0601734,3
3137,151501073,3328095.9104736988,611362.9596344264,-97.8444773,30.078944,3
3138,151475669,3319928.821943985,608225.7843062154,-97.8778548,30.005536,3
3139,151475699,3320147.3150052177,608107.30483717,-97.8790609,30.0075179,3
3140,151490948,3320045.86197755,608180.9318584072,-97.8783079,30.006596,3
3141,151533330,3320274.3155009146,608471.4639198438,-97.8752727,30.0086316,3
3142,151475831,3321361.354636517,585960.4707346443,-98.108572,30.020228,3
3143,151492931,3321250.081656643,585945.2313192538,-98.108739,30.019225,3
3144,151539380,3321958.0129935225,582472.9174091464,-98.144689,30.025852,3
3145,151537005,3316653.4404785368,588684.6817178731,-98.080716,29.977552,3
3146,151508026,3316856.0189162195,588129.5518125112,-98.086453,29.97942,3
3147,151476132,3307938.8799513583,601607.0258890184,-97.9476118,29.8979161,3
3148,151476207,3319922.4471906726,591440.8640912364,-98.051869,30.006847,3
3149,3373766146,3347085.120559681,592510.6999740513,-98.0384048,30.2518598,3
3150,6539636261,3348370.9193164515,592064.7073400985,-98.0429276,30.2634955,3
3151,151477582,3307952.0455945935,604367.7971788067,-97.9190202,29.8978037,3
3152,151535354,3350397.741766831,588256.3000341388,-98.082344,30.282067,3
3153,151477569,3308036.59381827,604447.7768226455,-97.9181837,29.8985598,3
3154,151477615,3322173.2619549567,593463.9522007197,-98.030697,30.027004,3
3155,151523021,3322014.4561668723,593464.6216409261,-98.030704,30.025571,3
3156,151486971,3322297.1866892185,593466.6639150151,-98.030658,30.028122,3
3157,151478292,3340255.8176553003,595596.4927924725,-98.006953,30.19,3
3159,3629392656,3338622.578469342,603065.1605533364,-97.9295395,30.1746533,3
3160,151478501,3316021.3877463043,583677.9505383833,-98.132659,29.9722006,3
3161,151525195,3316039.8582945047,583593.9649612234,-98.133528,29.972373,3
3162,151549860,3315966.2848028434,583761.0269720681,-98.1318023,29.9716977,4
3163,151478606,3314837.977104932,581207.4459497811,-98.158354,29.961688,3
3164,151478829,3331606.7096899697,609069.193818996,-97.867913,30.110828,3
3165,151560462,3331608.8060049433,608922.8034629312,-97.869432,30.11086,3
3166,2970061554,3318051.890675186,608718.0619284601,-97.8729428,29.9885571,3
3167,151478874,3338033.671048246,600602.0531622819,-97.9551744,30.1695459,3
3168,151537709,3337970.569720638,600608.6406316545,-97.955112,30.168976,3
