Name,Latitude,Longitude,Address,Hour Status
Lago Vista School Superintendent,30.4803125,-97.9773125,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",[]
NorthShore Christian Academy,30.4730625,-97.9908125,"7301 Bar K Ranch Rd, Lago Vista, TX 78645",[]
Primrose School of Lakeway,30.3583125,-97.9546875,"601 Ranch Rd 620 S, Lakeway, TX 78734",[]
The Goddard School of Lakeway,30.3314375,-97.9696875,"301 Medical Pkwy, Lakeway, TX 78738",[]
Lakeway Elementary School,30.3525625,-97.9761875,"1701 Lohmans Crossing Rd, Austin, TX 78734",[]
The Learning Experience - Lakeway,30.3803125,-97.9456875,"1602 Ranch Rd 620 N, Lakeway, TX 78734",[]
Bluebonnet Montessori School of Lakeway,30.3733125,-97.9384375,"15099 Debba Dr, Austin, TX 78734",[]
Renzo Gracie Jiujitsu Lakeway,30.3405625,-97.9670625,"2301 Ranch Rd 620 S #170, Lakeway, TX 78734",[]
Lake Travis High School,30.3274375,-97.9699375,"3324 Ranch Rd 620 S, Austin, TX 78738",[]
IREC,30.3673125,-97.9441875,"15102 Cavalier Canyon Dr, Lakeway, TX 78734",[]
Little Lonestar Academy,30.3656875,-97.9501875,"107 Ranch Rd 620 S Suite 300, Lakeway, TX 78734",[]
Elite Academy: Music Preschool - Lakeway,30.3898125,-97.9380625,"2903 Ranch Rd 620 N Suite C, Austin, TX 78734",[]
Little Sunshine's Playhouse and Preschool of Lakeway,30.3554375,-97.9778125,"1501 Lohmans Crossing Rd, Lakeway, TX 78734",[]
Lone Star School of Music,30.3540625,-97.9608125,"915 Ranch Rd 620 S, Lakeway, TX 78734",[]
Westlake Taekwondo Academy,30.2848125,-97.8276875,"1158 Lost Creek Blvd, Austin, TX 78746",[]
Forest Trail Elementary School,30.2810625,-97.8199375,"1203 S Capital of Texas Hwy, West Lake Hills, TX 78746",[]
Lost Creek Limited District (LCLD),30.2835625,-97.8335625,"1305 Quaker Ridge Dr, Austin, TX 78746",[]
Menchaca Elementary School,30.1415625,-97.8361875,"1218 Farm to Market 1626, Manchaca, TX 78652",[]
Bright Beginnings Schoolhouse,30.1370625,-97.8439375,"1600 Black Bear Dr Bldg #2, Manchaca, TX 78652",[]
The Marbridge School,30.1383125,-97.8539375,"2504 Bliss Spillar Rd, Manchaca, TX 78652",[]
Austin Christian Academy,30.140812500000003,-97.8320625,"1010 Farm to Market 1626, Austin, TX 78748",[]
Ashlie's Imagination Station Preschool,30.1344375,-97.8304375,"12502 Scissortail Dr, Manchaca, TX 78652",[]
Baranoff Elementary School,30.1539375,-97.8521875,"12009 Buckingham Gate Rd, Austin, TX 78748",[]
Headwaters School | Springs Campus,30.2088125,-97.8041875,"6305 Menchaca Rd, Austin, TX 78745",[]
Manchaca UMC CDC,30.140187500000003,-97.8321875,"1011 Farm to Market 1626, Manchaca, TX 78652",[]
Austin Educational Theatre,30.138687500000003,-97.8315625,"12300 Wirth Dr Unit E, Manchaca, TX 78652",[]
Honey Bear Cub Care,30.1364375,-97.8588125,"2601A Bliss Spillar Rd, Manchaca, TX 78652",[]
Joslin Elementary School,30.2278125,-97.7901875,"4500 Menchaca Rd, Austin, TX 78745",[]
The Goddard School of Austin,30.1490625,-97.8416875,"2111 Frate Barker Rd, Austin, TX 78748",[]
