Index,SubIndex,ChargerNumber,trainingEVdemand,center,avg_volt
1084,18,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,19,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,20,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,21,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,22,1.0,0.0,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1084,23,1.0,0.142857142857143,"(-10878787.68485893, 3532061.54774268)",1.0255647935057728
1085,0,8.0,1.42857142857143,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,1,8.0,0.714285714285714,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,2,8.0,0.857142857142857,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,3,8.0,1.0,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,4,8.0,1.14285714285714,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,5,8.0,1.28571428571429,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,6,8.0,3.0,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,7,8.0,2.42857142857143,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,8,8.0,2.28571428571429,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,9,8.0,1.71428571428571,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,10,8.0,2.14285714285714,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,11,8.0,1.28571428571429,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,12,8.0,1.0,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,13,8.0,2.0,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,14,8.0,3.42857142857143,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,15,8.0,2.85714285714286,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,16,8.0,3.42857142857143,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
