PrimaryIndex,Hour,EV_demand_pred,center,avg_volt
71,7,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,8,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,9,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,10,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,11,1.0615441,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,12,1.075946,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,13,1.056587,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,14,1.150242,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,15,1.1032004,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,16,1.1032004,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,17,1.0841029,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,18,1.0854186,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,19,1.075946,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,20,1.065068,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,21,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,22,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
71,23,0.6638783,"(-10857130.816974942, 3554073.7526442404)",1.0117750800099787
72,0,0.15816395,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,1,0.15816395,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,2,0.15816395,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,3,0.15816395,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,4,0.15816395,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,5,0.15816395,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,6,0.2297213,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,7,0.2274101,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,8,0.23054805,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,9,0.21408732,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,10,0.23067126,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,11,0.2297213,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,12,0.23067126,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,13,0.2297213,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,14,0.2297213,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,15,0.2297213,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,16,0.28527364,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,17,0.26244083,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,18,0.2297213,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,19,0.2274101,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,20,0.2274101,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,21,0.2297213,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,22,0.26244083,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
72,23,0.15816395,"(-10857130.816974942, 3560373.7526442404)",1.0028331549518348
73,0,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,1,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,2,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,3,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,4,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,5,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,6,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
